participant,task,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,color_high,tail_high,wing_discrete_slider.response,feature_dimension,feature_importance,feature_relevance,wing_relevant,wing_response
1,accommodate,tail,color,wing,0,B,S,Yes,wing,6.0,irrelevant,0,1
2,accommodate,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1,1
3,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
4,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
5,accommodate,color,tail,wing,0,B,S,Yes,wing,7.0,irrelevant,0,1
6,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0,1
7,accommodate,tail,wing,color,1,Y,C,Yes,wing,6.0,relevant,1,1
8,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
9,accommodate,tail,wing,color,1,Y,C,Yes,wing,-5.0,relevant,1,1
10,accommodate,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0,1
11,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1,1
12,accommodate,tail,color,wing,1,B,S,Yes,wing,-4.0,irrelevant,0,1
13,accommodate,wing,tail,color,1,Y,C,Yes,wing,6.0,relevant,1,1
14,accommodate,color,wing,tail,0,Y,C,Yes,wing,3.0,relevant,1,1
15,accommodate,color,wing,tail,0,Y,C,Yes,wing,-5.0,relevant,1,1
16,accommodate,tail,color,wing,1,B,S,Yes,wing,-3.0,irrelevant,0,1
17,accommodate,tail,wing,color,1,B,C,Yes,wing,2.0,relevant,1,1
18,accommodate,wing,color,tail,0,Y,C,Yes,wing,-5.0,relevant,1,1
19,accommodate,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0,1
20,accommodate,color,tail,wing,1,B,S,Yes,wing,1.0,irrelevant,0,1
21,accommodate,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1,1
22,accommodate,tail,wing,color,1,B,C,No,wing,0.0,relevant,1,0
23,accommodate,color,wing,tail,0,Y,S,Yes,wing,-5.0,relevant,1,1
24,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
25,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1,0
26,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1,0
27,accommodate,color,tail,wing,0,B,S,Yes,wing,2.0,irrelevant,0,1
28,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
29,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
30,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
31,accommodate,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1,1
32,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
33,accommodate,wing,color,tail,0,Y,C,Yes,wing,5.0,relevant,1,1
34,accommodate,color,tail,wing,0,B,S,Yes,wing,6.0,irrelevant,0,1
35,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1,1
36,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
37,accommodate,wing,color,tail,0,Y,C,Yes,wing,4.0,relevant,1,1
38,accommodate,tail,color,wing,1,B,S,Yes,wing,7.0,irrelevant,0,1
39,accommodate,color,tail,wing,1,B,S,Yes,wing,7.0,irrelevant,0,1
40,accommodate,tail,color,wing,1,B,S,Yes,wing,3.0,irrelevant,0,1
41,accommodate,wing,color,tail,0,Y,S,Yes,wing,-5.0,relevant,1,1
42,accommodate,color,wing,tail,0,Y,C,Yes,wing,2.0,relevant,1,1
43,accommodate,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1,1
44,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
45,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1,1
46,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
47,accommodate,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0,1
48,accommodate,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1,1
49,accommodate,tail,color,wing,0,B,S,Yes,wing,2.0,irrelevant,0,1
50,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1,1
51,accommodate,tail,color,wing,1,B,S,Yes,wing,6.0,irrelevant,0,1
52,accommodate,tail,color,wing,1,B,S,Yes,wing,3.0,irrelevant,0,1
53,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
54,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
55,accommodate,wing,color,tail,0,Y,S,Yes,wing,5.0,relevant,1,1
56,accommodate,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1,1
57,accommodate,tail,color,wing,0,B,S,Yes,wing,3.0,irrelevant,0,1
58,accommodate,color,wing,tail,0,Y,S,Yes,wing,6.0,relevant,1,1
59,accommodate,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0,1
60,accommodate,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0,1
61,accommodate,tail,color,wing,0,B,S,Yes,wing,-2.0,irrelevant,0,1
62,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1,1
63,accommodate,tail,color,wing,1,B,S,Yes,wing,2.0,irrelevant,0,1
64,accommodate,tail,wing,color,1,B,C,No,wing,0.0,relevant,1,0
65,accommodate,color,wing,tail,0,Y,C,Yes,wing,-4.0,relevant,1,1
66,accommodate,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1,1
67,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1,0
68,accommodate,color,tail,wing,0,B,S,Yes,wing,-3.0,irrelevant,0,1
69,accommodate,tail,color,wing,1,B,S,Yes,wing,1.0,irrelevant,0,1
70,accommodate,tail,color,wing,0,B,S,Yes,wing,-4.0,irrelevant,0,1
71,accommodate,wing,tail,color,1,Y,C,Yes,wing,2.0,relevant,1,1
72,accommodate,tail,color,wing,0,B,S,Yes,wing,-5.0,irrelevant,0,1
73,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
74,accommodate,tail,wing,color,1,B,C,Yes,wing,7.0,relevant,1,1
75,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0,1
76,accommodate,wing,color,tail,0,Y,C,Yes,wing,-6.0,relevant,1,1
77,accommodate,wing,tail,color,1,Y,C,Yes,wing,4.0,relevant,1,1
78,accommodate,wing,color,tail,0,Y,C,Yes,wing,3.0,relevant,1,1
79,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1,1
80,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1,0
81,accommodate,wing,color,tail,0,Y,C,Yes,wing,6.0,relevant,1,1
82,accommodate,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1,1
83,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1,0
84,accommodate,tail,color,wing,0,B,S,Yes,wing,3.0,irrelevant,0,1
85,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1,1
86,accommodate,tail,color,wing,1,B,S,Yes,wing,3.0,irrelevant,0,1
87,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
88,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
89,accommodate,wing,color,tail,0,Y,C,No,wing,0.0,relevant,1,0
90,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0,1
91,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1,0
92,accommodate,tail,color,wing,1,B,S,Yes,wing,6.0,irrelevant,0,1
93,accommodate,color,tail,wing,1,B,S,Yes,wing,-5.0,irrelevant,0,1
94,accommodate,tail,wing,color,1,Y,C,Yes,wing,4.0,relevant,1,1
95,accommodate,wing,color,tail,0,Y,C,Yes,wing,-6.0,relevant,1,1
96,accommodate,wing,color,tail,0,Y,C,Yes,wing,4.0,relevant,1,1
97,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
98,accommodate,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
99,accommodate,color,tail,wing,0,B,S,Yes,wing,-6.0,irrelevant,0,1
100,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
101,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
102,accommodate,color,wing,tail,0,Y,C,Yes,wing,7.0,relevant,1,1
103,accommodate,color,tail,wing,0,B,S,Yes,wing,3.0,irrelevant,0,1
104,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
105,accommodate,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1,1
106,accommodate,color,wing,tail,0,Y,S,Yes,wing,-3.0,relevant,1,1
107,accommodate,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0,1
108,accommodate,wing,tail,color,1,Y,C,Yes,wing,7.0,relevant,1,1
109,accommodate,tail,color,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
110,accommodate,wing,color,tail,0,Y,S,No,wing,0.0,relevant,1,0
111,accommodate,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1,1
112,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1,0
113,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
114,accommodate,color,tail,wing,0,B,S,Yes,wing,-3.0,irrelevant,0,1
115,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1,0
116,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1,1
117,accommodate,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1,1
118,accommodate,tail,color,wing,0,B,S,Yes,wing,4.0,irrelevant,0,1
119,accommodate,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0,1
120,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
121,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1,1
122,accommodate,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1,1
123,accommodate,wing,color,tail,0,Y,C,No,wing,0.0,relevant,1,0
124,accommodate,wing,color,tail,0,Y,S,Yes,wing,6.0,relevant,1,1
125,accommodate,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0,1
126,accommodate,wing,tail,color,1,Y,C,Yes,wing,4.0,relevant,1,1
127,accommodate,color,wing,tail,0,Y,S,Yes,wing,5.0,relevant,1,1
128,accommodate,wing,color,tail,0,Y,S,No,wing,0.0,relevant,1,0
129,accommodate,tail,color,wing,1,B,S,Yes,wing,4.0,irrelevant,0,1
130,accommodate,color,wing,tail,0,Y,C,Yes,wing,4.0,relevant,1,1
131,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
132,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
133,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1,0
134,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1,0
135,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1,0
136,accommodate,color,tail,wing,1,B,S,Yes,wing,-6.0,irrelevant,0,1
137,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0,1
138,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1,1
139,accommodate,tail,wing,color,1,Y,C,Yes,wing,4.0,relevant,1,1
140,accommodate,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0,1
141,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1,1
142,accommodate,tail,wing,color,1,Y,C,Yes,wing,2.0,relevant,1,1
143,accommodate,color,wing,tail,0,Y,S,Yes,wing,5.0,relevant,1,1
144,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1,1
145,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
146,accommodate,color,wing,tail,0,Y,C,Yes,wing,7.0,relevant,1,1
147,accommodate,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0,1
148,accommodate,tail,wing,color,1,B,C,Yes,wing,4.0,relevant,1,1
149,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1,0
150,accommodate,color,tail,wing,1,B,S,Yes,wing,-3.0,irrelevant,0,1
151,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1,1
152,accommodate,color,tail,wing,0,B,S,Yes,wing,-6.0,irrelevant,0,1
153,accommodate,color,tail,wing,0,B,S,Yes,wing,-2.0,irrelevant,0,1
154,accommodate,wing,color,tail,0,Y,C,Yes,wing,3.0,relevant,1,1
155,accommodate,tail,wing,color,1,Y,C,No,wing,0.0,relevant,1,0
156,accommodate,tail,color,wing,1,B,S,Yes,wing,2.0,irrelevant,0,1
157,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0,0
158,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1,1
159,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1,0
160,accommodate,color,tail,wing,0,B,S,Yes,wing,-6.0,irrelevant,0,1
161,accommodate,wing,color,tail,0,Y,S,Yes,wing,2.0,relevant,1,1
162,accommodate,tail,wing,color,1,B,C,Yes,wing,6.0,relevant,1,1
163,accommodate,tail,wing,color,1,Y,C,Yes,wing,6.0,relevant,1,1
164,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
165,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0,1
166,accommodate,wing,color,tail,0,Y,C,No,wing,0.0,relevant,1,0
167,accommodate,wing,color,tail,0,Y,C,Yes,wing,5.0,relevant,1,1
168,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1,0
169,accommodate,tail,color,wing,1,B,S,Yes,wing,7.0,irrelevant,0,1
170,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1,1
171,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
172,accommodate,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1,1
173,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
174,accommodate,tail,color,wing,0,B,S,Yes,wing,-6.0,irrelevant,0,1
175,accommodate,tail,color,wing,1,B,S,Yes,wing,3.0,irrelevant,0,1
176,accommodate,color,wing,tail,0,Y,C,Yes,wing,-6.0,relevant,1,1
177,accommodate,tail,color,wing,0,B,S,Yes,wing,6.0,irrelevant,0,1
178,accommodate,wing,color,tail,0,Y,C,Yes,wing,7.0,relevant,1,1
179,accommodate,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0,1
180,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1,1
181,accommodate,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1,1
182,accommodate,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0,1
183,accommodate,color,tail,wing,0,B,S,Yes,wing,-4.0,irrelevant,0,1
184,accommodate,tail,wing,color,1,B,C,Yes,wing,7.0,relevant,1,1
185,accommodate,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0,1
186,accommodate,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1,1
187,accommodate,color,tail,wing,0,B,S,Yes,wing,3.0,irrelevant,0,1
188,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
189,accommodate,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0,1
190,accommodate,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0,1
191,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1,0
192,accommodate,wing,color,tail,0,Y,S,Yes,wing,-3.0,relevant,1,1
193,accommodate,tail,wing,color,1,B,C,Yes,wing,7.0,relevant,1,1
194,accommodate,color,tail,wing,0,B,S,Yes,wing,3.0,irrelevant,0,1
195,accommodate,tail,color,wing,1,B,S,Yes,wing,6.0,irrelevant,0,1
196,accommodate,wing,color,tail,0,Y,S,Yes,wing,6.0,relevant,1,1
197,accommodate,wing,tail,color,1,Y,C,Yes,wing,6.0,relevant,1,1
198,accommodate,tail,wing,color,1,B,C,Yes,wing,6.0,relevant,1,1
199,accommodate,tail,color,wing,1,B,S,Yes,wing,7.0,irrelevant,0,1
200,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
201,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0,1
