consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,trials.order
yes,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,2.667,2.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,2.668,7.683,1,[2.020999999999999],[2.020999999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,7.683,14.725,1,[4.048000000000002],[4.048000000000002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,14.725,19.196,1,[1.4719999999999978],[1.4719999999999978],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,19.197,23.078,1,[0.8889999999999993],[0.8889999999999993],,,,,,,,,,,,,,,,,,,,,,,,,,
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,23.082,35.272,1,[9.194000000000003],[9.194000000000003],Because he's fat,35.273,35.772,0,0,0,0,1,N,Y,C,N_Y_C.png,training,1,1,2,low,6,2_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,35.774,39.39,1,[0.6189999999999998],[0.6189999999999998],kkk,39.39,39.89,0,1,1,1,1,N,B,C,N_B_C.png,training,1,2,4,low,6,4_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,39.891,43.828,1,[0.9440000000000026],[0.9440000000000026],jjj,43.828,44.327,0,2,2,2,1,T,Y,C,T_Y_C.png,training,1,3,8,medium,6,8_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,44.328,48.043,1,[0.7220000000000013],[0.7220000000000013],jjkhjgjgjh,48.043,48.542,0,3,3,3,1,N,Y,S,N_Y_S.png,training,1,4,6,medium,6,6_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,48.544,51.973,1,[0.4299999999999997],[0.4299999999999997],jhkkhk,51.973,52.472,0,4,4,4,1,T,B,S,T_B_S.png,training,1,5,9,high,6,9_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,52.474,56.292,1,[0.8200000000000003],[0.8200000000000003],hhkhkjjhk,56.292,56.792,0,5,5,5,1,T,B,C,T_B_C.png,training,1,6,5,medium,6,5_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,56.793,60.32,1,[0.5279999999999916],[0.5279999999999916],hkhkhjhkj,60.32,60.819,0,6,6,6,1,N,B,S,N_B_S.png,training,1,7,7,medium,6,7_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,60.821,64.34,1,[0.5210000000000008],[0.5210000000000008],hkhkhhjkhj,64.34,64.84,0,7,7,7,1,T,Y,S,T_Y_S.png,training,1,8,5,high,6,5_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,64.841,69.063,1,[1.2289999999999992],[1.2289999999999992],kjkjlklkjk,69.063,69.562,0,8,8,8,1,T,B,S,T_B_S.png,training,2,9,6,high,6,6_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,69.564,74.132,1,[1.5759999999999934],[1.5759999999999934],asdadd,74.132,74.631,0,9,9,9,1,N,B,S,N_B_S.png,training,2,10,6,medium,6,6_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",
,006,2025-11-20_09h13.37.265,explain2,2025.1.1,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,74.633,,,,,,,,0,10,10,10,1,T,Y,C,T_Y_C.png,training,2,11,3,medium,6,3_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/T_B_S.png",23
