participant,training_responses,food_amount,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_tail,training_shape,training_color,testing_categories,conditionOrder,training_image_order,attention_check,shape_discrete_slider.response,color_discrete_slider.response,tail_discrete_slider.response,shape_direction_slider.response,color_direction_slider.response,tail_direction_slider.response,shape_continuous_slider.response,color_continuous_slider.response,tail_continuous_slider.response
006,"[7.0, 8.0, 5.0, 1.0, 4.0, 7.0, 5.0, 4.0, 4.0, 7.0, 5.0, 4.0, 6.0, 4.0, 6.0, 5.0, 6.0, 9.0, 4.0, 6.0, 5.0, 9.0, 7.0, 7.0]","[6.0, 4.0, 1.0, 6.0, 2.0, 7.0, 5.0, 3.0, 3.0, 5.0, 4.0, 9.0, 4.0, 5.0, 8.0, 4.0, 7.0, 7.0, 5.0, 5.0, 4.0, 6.0, 8.0, 4.0, 6.0]","[1.0, 4.0, 4.0, 5.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 5.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 3.0]",['The amount kept changing regardless of shape. I thought the fatter and rounder sperks ate less. I noticed the tails as an afterthought and not a condition to gauge food amounts.'],811.9274,"['N_Y_S', 'T_Y_C', 'T_B_S', 'T_B_C', 'N_B_S', 'N_B_C', 'N_Y_C', 'T_Y_S']","[6.0, 4.0, 8.0, 5.0, 6.0, 4.0, 7.0, 9.0]","['medium', 'low', 'medium', 'high', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'high', 'low', 'medium', 'high', 'medium', 'medium', 'high', 'high', 'medium', 'low', 'medium', 'medium', 'low', 'medium']","['N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'T', 'N', 'N', 'T', 'T', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'N', 'N']","['S', 'C', 'S', 'S', 'C', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'S']","['B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'Y', 'B', 'B', 'B']","['medium', 'medium', 'high', 'medium', 'medium', 'low', 'low', 'high']",6,"['N_B_S', 'N_B_C', 'N_Y_S', 'T_Y_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'T_Y_C', 'N_B_S', 'T_B_C', 'N_Y_C', 'T_Y_S', 'N_B_C', 'N_Y_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'T_B_S', 'T_Y_S', 'T_Y_C', 'N_Y_C', 'N_Y_S', 'N_B_S', 'N_B_C', 'N_B_S']",0,Yes,No,Yes,Square,,Having a tail,5.0,,4.0
009,"[4.0, 5.0, 5.0, 6.0, 5.0, 6.0, 6.0, 6.0, 6.0, 5.0, 5.0, 5.0, 6.0, 6.0, 7.0, 4.0, 6.0, 7.0, 5.0, 5.0, 5.0, 7.0, 6.0, 7.0]","[6.0, 4.0, 6.0, 5.0, 2.0, 7.0, 9.0, 5.0, 7.0, 4.0, 5.0, 5.0, 6.0, 7.0, 7.0, 4.0, 4.0, 6.0, 5.0, 9.0, 4.0, 8.0, 3.0, 5.0, 6.0]","[2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 4.0, 1.0, 1.0, 3.0, 2.0]",['It was somewhat challenging trying to figure out the average.\xa0'],350.3429,"['N_B_C', 'N_Y_S', 'T_B_S', 'T_Y_S', 'N_Y_C', 'T_B_C', 'N_B_S', 'T_Y_C']","[4.0, 5.0, 6.0, 7.0, 4.0, 4.0, 5.0, 6.0]","['medium', 'low', 'medium', 'medium', 'low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'medium', 'medium', 'low', 'medium', 'low', 'high', 'medium', 'high', 'medium']","['N', 'N', 'T', 'T', 'N', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'N', 'N', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'N']","['S', 'C', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'S']","['B', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B']","['low', 'medium', 'high', 'high', 'low', 'medium', 'medium', 'medium']",9,"['N_B_S', 'N_Y_C', 'T_Y_C', 'T_B_C', 'N_B_C', 'T_B_S', 'T_Y_S', 'N_Y_S', 'T_Y_C', 'N_B_C', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_Y_C', 'N_B_S', 'T_Y_C', 'N_Y_C', 'N_Y_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'T_B_S', 'N_B_S']",0,Yes,Yes,Yes,,,,4.0,4.0,4.0
015,"[4.0, 7.0, 6.0, 4.0, 3.0, 8.0, 2.0, 5.0, 4.0, 5.0, 2.0, 2.0, 6.0, 7.0, 5.0, 2.0, 8.0, 7.0, 3.0, 4.0, 6.0, 5.0, 4.0, 8.0]","[4.0, 3.0, 4.0, 7.0, 8.0, 1.0, 3.0, 4.0, 5.0, 6.0, 3.0, 2.0, 8.0, 4.0, 6.0, 5.0, 4.0, 8.0, 5.0, 4.0, 6.0, 4.0, 3.0, 4.0, 4.0]","[0.0, 4.0, 2.0, 3.0, 5.0, 7.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 3.0, 1.0, 3.0, 4.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 4.0]",['Everything in the experiment was clearly written and explained well. I wish you luck on your research and hope you have a happy holidays!'],876.4239,"['N_Y_C', 'N_Y_S', 'N_B_S', 'T_Y_S', 'T_B_C', 'N_B_C', 'T_Y_C', 'T_B_S']","[4.0, 3.0, 6.0, 5.0, 4.0, 3.0, 5.0, 7.0]","['medium', 'medium', 'medium', 'high', 'high', 'low', 'low', 'medium', 'medium', 'medium', 'low', 'low', 'high', 'high', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'low', 'medium', 'medium']","['N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'N', 'T', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'N', 'T', 'T', 'N', 'N', 'N']","['S', 'C', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'S']","['B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B']","['low', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'high']",15,"['N_B_S', 'T_Y_C', 'T_B_C', 'T_B_S', 'T_Y_S', 'N_Y_C', 'N_B_C', 'N_Y_S', 'N_Y_S', 'T_B_C', 'N_B_C', 'N_Y_C', 'T_B_S', 'T_Y_S', 'N_B_S', 'T_Y_C', 'N_Y_S', 'T_B_S', 'T_Y_C', 'N_Y_C', 'T_B_C', 'T_Y_S', 'N_B_C', 'N_B_S', 'N_B_S']",1,Yes,No,Yes,Square,,Having a tail,5.0,,5.0
022,"[7.0, 1.0, 7.0, 5.0, 5.0, 1.0, 7.0, 8.0, 6.0, 5.0, 6.0, 5.0, 3.0, 6.0, 6.0, 3.0, 4.0, 3.0, 4.0, 5.0, 7.0, 6.0, 4.0, 3.0]","[1.0, 7.0, 7.0, 5.0, 6.0, 3.0, 8.0, 3.0, 3.0, 5.0, 4.0, 1.0, 6.0, 7.0, 2.0, 3.0, 10.0, 5.0, 6.0, 6.0, 2.0, 3.0, 4.0, 5.0, 1.0]","[6.0, 6.0, 0.0, 0.0, 1.0, 2.0, 1.0, 5.0, 3.0, 0.0, 2.0, 4.0, 3.0, 1.0, 4.0, 0.0, 6.0, 2.0, 2.0, 1.0, 5.0, 3.0, 0.0, 2.0]",['It felt very difficult and I was not able to notice any patterns.'],425.752,"['N_B_C', 'T_Y_S', 'T_B_C', 'T_B_S', 'N_Y_C', 'N_B_S', 'N_Y_S', 'T_Y_C']","[3.0, 4.0, 6.0, 6.0, 6.0, 7.0, 6.0, 3.0]","['low', 'medium', 'high', 'low', 'medium', 'medium', 'high', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'medium', 'low', 'medium', 'high', 'medium', 'medium', 'high', 'low', 'medium', 'low', 'medium', 'low']","['N', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'N', 'T', 'T', 'N', 'T', 'T', 'N', 'T', 'N', 'N', 'N']","['C', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'S', 'S', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'C']","['Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B', 'B', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y']","['low', 'high', 'medium', 'high', 'low', 'medium', 'medium', 'medium']",22,"['N_Y_C', 'N_Y_S', 'T_Y_S', 'N_B_C', 'T_B_C', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_B_S', 'N_Y_S', 'T_B_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'N_Y_C', 'T_Y_C', 'T_B_S', 'N_Y_S', 'T_Y_C', 'T_Y_S', 'N_B_C', 'T_B_C', 'N_Y_C', 'N_B_S', 'N_Y_C']",1,No,No,No,,,,,,
012,"[7.0, 4.0, 5.0, 3.0, 4.0, 2.0, 4.0, 6.0, 3.0, 6.0, 7.0, 3.0, 3.0, 7.0, 4.0, 4.0, 5.0, 5.0, 7.0, 7.0, 8.0, 6.0, 4.0, 3.0]","[2.0, 4.0, 5.0, 4.0, 7.0, 6.0, 2.0, 7.0, 6.0, 6.0, 6.0, 7.0, 8.0, 9.0, 5.0, 4.0, 6.0, 3.0, 6.0, 4.0, 9.0, 8.0, 1.0, 3.0, 2.0]","[5.0, 0.0, 0.0, 1.0, 3.0, 4.0, 2.0, 1.0, 3.0, 0.0, 1.0, 4.0, 5.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 3.0, 1.0, 2.0, 3.0, 0.0]",[],424.6355,"['T_B_S', 'N_B_S', 'N_B_C', 'N_Y_S', 'N_Y_C', 'T_B_C', 'T_Y_C', 'T_Y_S']","[7.0, 6.0, 4.0, 5.0, 5.0, 6.0, 8.0, 7.0]","['low', 'high', 'medium', 'low', 'high', 'medium', 'medium', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'medium', 'low', 'low', 'low']","['N', 'T', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'N']","['C', 'S', 'S', 'C', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'S', 'S', 'C', 'S', 'C', 'C', 'C', 'C']","['B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B']","['high', 'medium', 'low', 'medium', 'low', 'medium', 'medium', 'high']",12,"['N_B_C', 'T_B_S', 'N_Y_S', 'N_Y_C', 'T_Y_S', 'T_B_C', 'N_B_S', 'T_Y_C', 'N_Y_S', 'T_B_C', 'T_Y_C', 'T_B_S', 'N_B_S', 'T_Y_S', 'N_Y_C', 'N_B_C', 'N_B_S', 'N_Y_S', 'T_Y_S', 'T_Y_C', 'T_B_S', 'T_B_C', 'N_Y_C', 'N_B_C', 'N_B_C']",1,Yes,Yes,Yes,Square,,Having a tail,3.0,2.0,3.0
010,"[4.0, 8.0, 9.0, 8.0, 6.0, 6.0, 7.0, 5.0, 6.0, 8.0, 8.0, 6.0, 1.0, 8.0, 6.0, 6.0, 8.0, 4.0, 8.0, 9.0, 6.0, 7.0, 9.0, 1.0]","[5.0, 8.0, 6.0, 9.0, 6.0, 7.0, 2.0, 3.0, 10.0, 6.0, 3.0, 1.0, 1.0, 8.0, 3.0, 6.0, 4.0, 7.0, 7.0, 6.0, 7.0, 9.0, 1.0, 6.0, 5.0]","[1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 5.0, 2.0, 4.0, 2.0, 5.0, 5.0, 0.0, 0.0, 3.0, 0.0, 4.0, 3.0, 1.0, 3.0, 1.0, 2.0, 8.0, 5.0]",[],636.496,"['T_Y_S', 'N_Y_S', 'N_Y_C', 'T_B_C', 'T_Y_C', 'N_B_S', 'T_B_S', 'N_B_C']","[8.0, 6.0, 6.0, 4.0, 6.0, 7.0, 7.0, 5.0]","['medium', 'medium', 'medium', 'high', 'high', 'medium', 'low', 'low', 'high', 'medium', 'medium', 'low', 'low', 'high', 'medium', 'medium', 'medium', 'low', 'medium', 'medium', 'high', 'high', 'low', 'medium', 'medium']","['T', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'T']","['C', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'C', 'S', 'C']","['B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B', 'B']","['high', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'low']",10,"['T_B_C', 'N_Y_S', 'T_Y_C', 'T_Y_S', 'T_B_S', 'N_B_S', 'N_Y_C', 'N_B_C', 'T_B_S', 'N_Y_S', 'T_Y_C', 'N_Y_C', 'N_B_C', 'T_Y_S', 'T_B_C', 'N_B_S', 'N_Y_S', 'N_Y_C', 'T_Y_C', 'T_B_C', 'T_B_S', 'T_Y_S', 'N_B_C', 'N_B_S', 'T_B_C']",0,Yes,Yes,Yes,Square,Yellow,Having a tail,,,3.0
007,"[7.0, 5.0, 8.0, 6.0, 4.0, 5.0, 7.0, 5.0, 3.0, 6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 6.0, 5.0, 7.0, 6.0, 7.0, 6.0, 4.0, 5.0, 6.0]","[7.0, 4.0, 10.0, 5.0, 4.0, 6.0, 4.0, 3.0, 7.0, 5.0, 4.0, 8.0, 2.0, 2.0, 3.0, 5.0, 7.0, 8.0, 8.0, 2.0, 4.0, 6.0, 5.0, 6.0, 7.0]","[0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 3.0, 2.0, 4.0, 1.0, 1.0, 1.0, 4.0, 3.0, 1.0, 1.0, 2.0, 1.0, 2.0, 5.0, 2.0, 2.0, 0.0, 0.0]",['No comments'],274.603,"['N_Y_C', 'T_Y_C', 'T_Y_S', 'T_B_S', 'N_Y_S', 'T_B_C', 'N_B_S', 'N_B_C']","[5.0, 7.0, 5.0, 7.0, 3.0, 3.0, 4.0, 4.0]","['medium', 'medium', 'high', 'medium', 'medium', 'high', 'low', 'low', 'medium', 'medium', 'high', 'high', 'low', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'low', 'medium', 'medium', 'medium', 'medium']","['T', 'T', 'T', 'N', 'N', 'T', 'N', 'N', 'T', 'N', 'T', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'T', 'N', 'N', 'T']","['C', 'C', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'S', 'C']","['B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'B']","['low', 'medium', 'high', 'high', 'medium', 'medium', 'medium', 'low']",7,"['T_B_C', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'T_Y_S', 'N_B_C', 'N_Y_C', 'T_Y_C', 'N_B_S', 'T_B_S', 'T_Y_S', 'N_B_C', 'N_Y_C', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_B_C', 'T_B_S', 'N_Y_C', 'N_B_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_B_C']",0,Yes,Yes,No,Square,,,4.0,5.0,
003,"[4.0, 9.0, 7.0, 9.0, 5.0, 7.0, 7.0, 4.0, 4.0, 5.0, 3.0, 5.0, 5.0, 5.0, 6.0, 8.0, 5.0, 5.0, 7.0, 3.0, 6.0, 9.0, 5.0, 9.0]","[9.0, 7.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 3.0, 5.0, 5.0, 5.0, 6.0, 8.0, 5.0, 5.0, 7.0, 3.0, 6.0, 9.0, 5.0, 9.0, 6.0, 9.0]","[5.0, 2.0, 2.0, 4.0, 0.0, 3.0, 3.0, 0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 3.0, 0.0, 2.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0]",[],351.9846,"['T_B_S', 'T_Y_C', 'T_B_C', 'T_Y_S', 'N_Y_S', 'N_B_C', 'N_B_S', 'N_Y_C']","[7.0, 3.0, 5.0, 6.0, 9.0, 9.0, 7.0, 4.0]","['high', 'high', 'medium', 'medium', 'low', 'medium', 'low', 'medium', 'low', 'low', 'medium', 'medium', 'medium', 'high', 'high', 'medium', 'medium', 'medium', 'low', 'medium', 'high', 'low', 'high', 'medium', 'high']","['T', 'T', 'T', 'T', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T']","['S', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'S']","['B', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B']","['high', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'low']",3,"['T_B_S', 'T_Y_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'N_B_S', 'N_Y_C', 'N_Y_S', 'N_B_C', 'N_Y_C', 'N_B_S', 'T_Y_C', 'N_Y_S', 'T_Y_S', 'T_B_S', 'T_B_C', 'T_Y_C', 'N_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_S', 'N_B_C', 'T_B_S', 'T_B_C', 'T_B_S']",0,Yes,Yes,Yes,Square,Blue,Having a tail,5.0,5.0,5.0
008,"[3.0, 1.0, 3.0, 6.0, 7.0, 6.0, 1.0, 6.0, 10.0, 3.0, 7.0, 1.0, 3.0, 7.0, 10.0, 3.0, 4.0, 8.0, 6.0, 5.0, 4.0, 3.0, 8.0, 6.0]","[1.0, 7.0, 6.0, 6.0, 7.0, 5.0, 1.0, 10.0, 6.0, 6.0, 5.0, 3.0, 4.0, 8.0, 6.0, 5.0, 5.0, 8.0, 5.0, 4.0, 5.0, 1.0, 8.0, 4.0, 1.0]","[2.0, 6.0, 3.0, 0.0, 0.0, 1.0, 0.0, 4.0, 4.0, 3.0, 2.0, 2.0, 1.0, 1.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 2.0]",[],613.039,"['T_Y_C', 'N_Y_S', 'N_B_S', 'N_Y_C', 'T_B_S', 'N_B_C', 'T_B_C', 'T_Y_S']","[5.0, 5.0, 6.0, 4.0, 8.0, 3.0, 5.0, 7.0]","['low', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'medium', 'low', 'medium', 'low', 'high', 'medium', 'low']","['N', 'T', 'N', 'N', 'T', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'N', 'T', 'N', 'N']","['C', 'C', 'S', 'S', 'C', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'C']","['Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'Y', 'Y']","['medium', 'medium', 'medium', 'low', 'high', 'low', 'medium', 'high']",8,"['N_Y_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_B_C', 'T_B_S', 'N_B_C', 'T_Y_S', 'T_Y_S', 'T_B_C', 'N_Y_S', 'N_B_C', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'N_B_S', 'N_Y_C', 'T_Y_C', 'N_B_C', 'T_Y_S', 'N_Y_S', 'N_Y_C']",1,Yes,Yes,No,Square,Blue,,7.0,5.0,
