participant,training_responses,food_amount,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_tail,training_shape,training_color,testing_categories,conditionOrder,training_image_order,attention_check,shape_discrete_slider.response,color_discrete_slider.response,tail_discrete_slider.response,shape_direction_slider.response,color_direction_slider.response,tail_direction_slider.response,shape_continuous_slider.response,color_continuous_slider.response,tail_continuous_slider.response
027,"[6.0, 4.0, 7.0, 6.0, 2.0, 2.0, 4.0, 3.0, 4.0, 4.0, 5.0, 4.0, 3.0, 6.0, 5.0, 6.0, 3.0, 6.0, 5.0, 6.0, 3.0, 4.0, 7.0, 5.0]","[6.0, 5.0, 1.0, 4.0, 3.0, 6.0, 7.0, 4.0, 6.0, 4.0, 6.0, 4.0, 3.0, 6.0, 6.0, 5.0, 5.0, 2.0, 5.0, 7.0, 8.0, 3.0, 4.0, 3.0, 6.0]","[0.0, 1.0, 6.0, 2.0, 1.0, 4.0, 3.0, 1.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 4.0, 0.0, 1.0, 5.0, 1.0, 3.0, 2.0]",[],355.6726,"['N_B_S', 'T_Y_S', 'N_Y_C', 'N_Y_S', 'T_B_C', 'N_B_C', 'T_B_S', 'T_Y_C']","[6.0, 5.0, 7.0, 7.0, 3.0, 6.0, 6.0, 3.0]","['medium', 'medium', 'low', 'medium', 'low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'low', 'medium', 'high', 'high', 'medium', 'medium', 'medium', 'high', 'high', 'medium', 'low', 'medium', 'low', 'medium']","['T', 'N', 'N', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'T']","['C', 'S', 'C', 'S', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'C', 'S', 'S', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'C']","['Y', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y']","['medium', 'high', 'low', 'medium', 'medium', 'low', 'high', 'medium']",27,"['T_Y_C', 'N_B_S', 'N_Y_C', 'N_Y_S', 'N_B_C', 'T_Y_S', 'T_B_S', 'T_B_C', 'T_B_C', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_Y_C', 'T_Y_S', 'T_B_S', 'N_Y_S', 'T_B_C', 'N_Y_S', 'T_B_S', 'T_Y_S', 'T_Y_C', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_Y_C']",0,Yes,Yes,No,Square,Blue,,5.0,4.0,
005,"[6.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 3.0, 5.0, 4.0, 6.0, 6.0, 4.0, 5.0, 4.0, 5.0, 6.0, 5.0, 6.0, 4.0, 4.0, 4.0, 5.0, 4.0]","[4.0, 1.0, 5.0, 3.0, 4.0, 7.0, 5.0, 5.0, 5.0, 7.0, 6.0, 6.0, 1.0, 1.0, 9.0, 5.0, 5.0, 6.0, 5.0, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0]","[2.0, 4.0, 1.0, 2.0, 0.0, 3.0, 0.0, 2.0, 0.0, 3.0, 0.0, 0.0, 3.0, 4.0, 5.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[""I focused so much on color, I didn't even really factor in tail and body shape.\xa0 I feel dumb!""]",357.7731,"['T_Y_C', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_B_S', 'N_B_C', 'N_Y_C']","[4.0, 4.0, 4.0, 4.0, 6.0, 5.0, 4.0, 4.0]","['high', 'low', 'medium', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'low', 'high', 'medium', 'low', 'high', 'high', 'medium', 'low', 'medium', 'medium', 'medium', 'high']","['T', 'N', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'N', 'T', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'T']","['S', 'C', 'C', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'C', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'S']","['Y', 'B', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'Y']","['medium', 'medium', 'medium', 'high', 'high', 'medium', 'low', 'low']",5,"['T_Y_S', 'N_B_C', 'T_Y_C', 'N_Y_C', 'N_B_S', 'T_B_S', 'T_B_C', 'N_Y_S', 'N_Y_S', 'T_B_C', 'T_B_S', 'N_B_S', 'N_Y_C', 'N_B_C', 'T_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_S', 'T_Y_S', 'T_B_C', 'N_B_C', 'N_B_S', 'N_Y_S', 'T_Y_C', 'T_Y_S']",1,Yes,Yes,Yes,Square,Blue,Having a tail,2.0,5.0,2.0
026,"[6.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0, 4.0, 5.0, 4.0, 6.0, 5.0, 6.0, 2.0, 6.0, 3.0, 6.0, 5.0, 6.0, 6.0, 3.0, 6.0, 7.0, 3.0]","[6.0, 4.0, 4.0, 5.0, 6.0, 3.0, 2.0, 6.0, 5.0, 6.0, 8.0, 5.0, 6.0, 5.0, 5.0, 5.0, 8.0, 2.0, 7.0, 4.0, 4.0, 3.0, 6.0, 7.0, 6.0]","[0.0, 0.0, 3.0, 1.0, 0.0, 2.0, 3.0, 2.0, 0.0, 2.0, 2.0, 0.0, 0.0, 3.0, 1.0, 2.0, 2.0, 3.0, 1.0, 2.0, 1.0, 3.0, 1.0, 4.0]",['The amount eaten seemed random at first but I THOUGHT I had noticed a few things. I was worried about forgetting the earliest examples and thus skewing my pattern recognition process'],1032.3829,"['T_B_C', 'N_B_C', 'N_Y_C', 'N_B_S', 'T_Y_C', 'N_Y_S', 'T_Y_S', 'T_B_S']","[5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 6.0, 7.0]","['high', 'low', 'medium', 'medium', 'medium', 'low', 'medium', 'high', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'medium', 'high', 'medium', 'low', 'low', 'medium', 'medium', 'high']","['T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'N', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'T']","['S', 'C', 'S', 'C', 'C', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'S', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'S']","['B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'B', 'B']","['medium', 'low', 'low', 'medium', 'medium', 'medium', 'high', 'high']",26,"['T_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'N_B_S', 'T_Y_S', 'N_Y_C', 'N_Y_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_B_S', 'T_Y_S', 'N_B_C', 'T_Y_S', 'T_Y_C', 'T_B_S', 'N_Y_S', 'N_B_C', 'N_Y_C', 'T_B_C', 'N_B_S', 'T_B_S']",1,Yes,Yes,No,Square,Blue,,4.0,5.0,
019,"[5.0, 3.0, 4.0, 6.0, 3.0, 6.0, 7.0, 4.0, 3.0, 4.0, 8.0, 8.0, 4.0, 8.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 9.0, 4.0, 5.0, 8.0]","[3.0, 4.0, 9.0, 5.0, 5.0, 6.0, 8.0, 2.0, 3.0, 5.0, 9.0, 6.0, 4.0, 3.0, 2.0, 9.0, 6.0, 5.0, 4.0, 2.0, 7.0, 6.0, 3.0, 6.0, 3.0]","[2.0, 1.0, 5.0, 1.0, 2.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 5.0, 1.0, 4.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]",[],447.9979,"['T_Y_C', 'N_B_C', 'N_Y_S', 'T_B_C', 'T_Y_S', 'N_B_S', 'T_B_S', 'N_Y_C']","[4.0, 6.0, 5.0, 6.0, 5.0, 6.0, 7.0, 4.0]","['low', 'medium', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'high', 'medium', 'high', 'medium', 'low', 'high', 'medium', 'low', 'medium', 'low']","['N', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'N', 'T', 'T', 'N', 'N', 'N']","['C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'C', 'S', 'C']","['Y', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y']","['medium', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low']",19,"['N_Y_C', 'N_Y_S', 'N_B_S', 'T_B_C', 'T_Y_C', 'T_Y_S', 'T_B_S', 'N_B_C', 'N_Y_C', 'N_Y_S', 'T_B_S', 'N_B_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'T_Y_S', 'N_Y_S', 'T_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_B_C', 'N_B_S', 'N_Y_C']",0,Yes,Yes,Yes,Square,Blue,Having a tail,5.0,3.0,4.0
023,"[4.0, 2.0, 4.0, 3.0, 5.0, 3.0, 4.0, 2.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 4.0, 3.0, 4.0, 4.0, 5.0, 7.0]","[2.0, 5.0, 3.0, 6.0, 7.0, 4.0, 9.0, 3.0, 5.0, 1.0, 4.0, 5.0, 5.0, 6.0, 8.0, 5.0, 9.0, 4.0, 4.0, 7.0, 1.0, 7.0, 1.0, 7.0, 2.0]","[2.0, 3.0, 1.0, 3.0, 2.0, 1.0, 5.0, 1.0, 2.0, 3.0, 0.0, 2.0, 1.0, 2.0, 3.0, 0.0, 4.0, 2.0, 0.0, 4.0, 3.0, 3.0, 4.0, 0.0]","['I did not write any notes for this experiment. However, I found it difficult to generalize patterns without being able to review previous information. I also found it hard to look at the array of animals and distill my findings.']",420.6881,"['T_Y_S', 'T_B_S', 'N_B_C', 'N_B_S', 'T_B_C', 'T_Y_C', 'N_Y_S', 'N_Y_C']","[7.0, 5.0, 2.0, 3.0, 4.0, 7.0, 4.0, 5.0]","['low', 'medium', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'low', 'low', 'medium', 'medium', 'medium', 'high', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'medium', 'low', 'high', 'low']","['N', 'T', 'N', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'T', 'N', 'T', 'N', 'T', 'N']","['C', 'C', 'S', 'S', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'S', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'S', 'C']","['B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B']","['high', 'high', 'low', 'medium', 'medium', 'medium', 'medium', 'low']",23,"['N_B_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_Y_S', 'T_B_C', 'T_B_S', 'N_Y_C', 'N_Y_C', 'N_B_C', 'N_Y_S', 'T_B_C', 'N_B_S', 'T_Y_S', 'T_B_S', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_C', 'N_B_C', 'T_Y_S', 'N_B_C']",1,Yes,Yes,Yes,Square,Yellow,Having a tail,3.0,3.0,2.0
018,"[6.0, 8.0, 5.0, 8.0, 7.0, 3.0, 8.0, 6.0, 2.0, 2.0, 8.0, 9.0, 6.0, 9.0, 3.0, 3.0, 2.0, 6.0, 5.0, 9.0, 9.0, 6.0, 8.0, 3.0]","[8.0, 6.0, 2.0, 9.0, 3.0, 7.0, 9.0, 4.0, 3.0, 2.0, 6.0, 8.0, 6.0, 7.0, 5.0, 3.0, 4.0, 6.0, 4.0, 7.0, 6.0, 3.0, 5.0, 6.0, 8.0]","[2.0, 2.0, 3.0, 1.0, 4.0, 4.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 2.0, 3.0, 3.0, 3.0, 3.0]","[""I didn't see a pattern in any of the sperks in regards to how much they ate.""]",453.0683,"['N_Y_C', 'T_B_S', 'T_Y_S', 'N_Y_S', 'T_Y_C', 'N_B_C', 'N_B_S', 'T_B_C']","[2.0, 4.0, 6.0, 3.0, 5.0, 6.0, 5.0, 9.0]","['high', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'low', 'medium', 'low', 'medium', 'medium', 'low', 'high', 'medium', 'high', 'low', 'high', 'medium', 'high', 'medium', 'low', 'medium', 'medium', 'high']","['T', 'T', 'N', 'T', 'N', 'N', 'T', 'N', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'N', 'N', 'T', 'T']","['S', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'S']","['Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y', 'Y']","['low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'medium']",18,"['T_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_C', 'N_B_S', 'N_Y_S', 'T_B_S', 'N_B_C', 'N_Y_S', 'N_Y_C', 'N_B_S', 'T_B_C', 'N_B_C', 'T_B_S', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_S', 'T_B_C', 'N_B_C', 'N_B_S', 'T_Y_C', 'T_Y_S']",1,No,No,No,,,,,,
030,"[7.0, 4.0, 6.0, 5.0, 4.0, 5.0, 4.0, 6.0, 7.0, 6.0, 5.0, 6.0, 5.0, 8.0, 5.0, 4.0, 4.0, 4.0, 5.0, 6.0, 5.0, 7.0, 6.0, 5.0]","[2.0, 8.0, 7.0, 6.0, 1.0, 6.0, 6.0, 5.0, 5.0, 4.0, 6.0, 6.0, 3.0, 5.0, 1.0, 4.0, 2.0, 5.0, 9.0, 4.0, 7.0, 5.0, 5.0, 7.0, 2.0]","[5.0, 4.0, 1.0, 1.0, 3.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 2.0, 3.0, 4.0, 0.0, 2.0, 1.0, 4.0, 2.0, 2.0, 2.0, 1.0, 2.0]",[],516.2965,"['N_Y_C', 'T_B_C', 'T_Y_S', 'N_B_C', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_S']","[7.0, 7.0, 5.0, 5.0, 6.0, 6.0, 8.0, 3.0]","['low', 'medium', 'high', 'medium', 'low', 'high', 'medium', 'medium', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'low', 'low', 'medium', 'high', 'low', 'high', 'medium', 'medium', 'medium', 'low']","['N', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'T', 'N', 'T', 'T', 'N', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'N']","['C', 'C', 'S', 'S', 'C', 'S', 'C', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'S', 'C']","['B', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B']","['low', 'medium', 'high', 'low', 'medium', 'high', 'medium', 'medium']",30,"['N_B_C', 'T_B_C', 'T_B_S', 'N_B_S', 'N_Y_C', 'T_Y_S', 'T_Y_C', 'N_Y_S', 'T_Y_S', 'N_B_S', 'T_B_S', 'N_Y_S', 'T_B_C', 'T_Y_C', 'N_B_C', 'N_Y_C', 'N_B_C', 'N_Y_S', 'T_Y_S', 'N_Y_C', 'T_B_S', 'T_B_C', 'T_Y_C', 'N_B_S', 'N_B_C']",1,No,No,No,,,,,,
013,"[4.0, 7.0, 8.0, 2.0, 6.0, 3.0, 2.0, 6.0, 4.0, 3.0, 6.0, 5.0, 6.0, 4.0, 5.0, 9.0, 4.0, 5.0, 9.0, 5.0, 9.0, 2.0, 5.0, 6.0]","[6.0, 2.0, 6.0, 3.0, 6.0, 5.0, 6.0, 4.0, 4.0, 6.0, 3.0, 3.0, 5.0, 2.0, 9.0, 4.0, 3.0, 5.0, 8.0, 7.0, 5.0, 4.0, 6.0, 3.0, 6.0]","[2.0, 5.0, 2.0, 1.0, 0.0, 2.0, 4.0, 2.0, 0.0, 3.0, 3.0, 2.0, 1.0, 2.0, 4.0, 5.0, 1.0, 0.0, 1.0, 2.0, 4.0, 2.0, 1.0, 3.0]",[],304.6297,"['T_B_C', 'N_B_C', 'N_Y_S', 'T_Y_C', 'N_B_S', 'T_B_S', 'N_Y_C', 'T_Y_S']","[7.0, 6.0, 5.0, 4.0, 8.0, 9.0, 2.0, 5.0]","['low', 'medium', 'high', 'high', 'medium', 'medium', 'medium', 'low', 'medium', 'medium', 'low', 'high', 'medium', 'low', 'high', 'medium', 'medium', 'medium', 'high', 'high', 'medium', 'low', 'medium', 'low', 'low']","['N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'N']","['C', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C']","['B', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'B', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'B']","['medium', 'low', 'medium', 'medium', 'medium', 'high', 'low', 'high']",13,"['N_B_C', 'T_Y_C', 'T_B_S', 'T_Y_S', 'T_B_C', 'N_B_S', 'N_Y_S', 'N_Y_C', 'T_Y_C', 'N_Y_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'N_Y_C', 'T_B_S', 'N_B_S', 'N_B_S', 'N_Y_S', 'T_B_S', 'T_Y_S', 'T_B_C', 'N_Y_C', 'T_Y_C', 'N_B_C', 'N_B_C']",1,Yes,Yes,Yes,Square,Blue,Having a tail,5.0,6.0,5.0
016,"[3.0, 8.0, 6.0, 4.0, 2.0, 5.0, 6.0, 4.0, 5.0, 5.0, 4.0, 2.0, 3.0, 5.0, 6.0, 4.0, 7.0, 7.0, 4.0, 3.0, 7.0, 3.0, 3.0, 7.0]","[6.0, 5.0, 5.0, 3.0, 4.0, 5.0, 7.0, 2.0, 4.0, 4.0, 4.0, 5.0, 4.0, 8.0, 10.0, 3.0, 6.0, 4.0, 6.0, 6.0, 8.0, 3.0, 6.0, 8.0, 6.0]","[3.0, 3.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 3.0, 1.0, 3.0, 4.0, 1.0, 1.0, 3.0, 2.0, 3.0, 1.0, 0.0, 3.0, 1.0]",[],371.5297,"['T_B_S', 'T_Y_C', 'N_B_C', 'N_Y_S', 'N_Y_C', 'T_B_C', 'N_B_S', 'T_Y_S']","[6.0, 3.0, 3.0, 5.0, 4.0, 3.0, 5.0, 6.0]","['medium', 'high', 'medium', 'medium', 'medium', 'low', 'high', 'low', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'medium', 'low', 'medium', 'medium', 'high', 'low', 'medium', 'high', 'medium']","['N', 'T', 'N', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'N', 'T', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'N']","['S', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'S']","['Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B', 'Y']","['high', 'medium', 'low', 'medium', 'low', 'medium', 'medium', 'high']",16,"['N_Y_S', 'T_Y_S', 'N_B_S', 'T_Y_C', 'T_B_C', 'N_Y_C', 'T_B_S', 'N_B_C', 'N_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_C', 'T_B_C', 'T_B_S', 'T_Y_S', 'N_B_C', 'T_Y_C', 'N_Y_C', 'N_Y_S', 'N_B_S', 'T_Y_S', 'N_B_C', 'T_B_C', 'T_B_S', 'N_Y_S']",1,Yes,Yes,Yes,Square,Yellow,Having no tail,4.0,5.0,5.0
024,"[5.0, 6.0, 4.0, 5.0, 6.0, 6.0, 6.0, 5.0, 4.0, 6.0, 4.0, 6.0, 5.0, 3.0, 5.0, 4.0, 2.0, 5.0, 6.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[6.0, 9.0, 5.0, 3.0, 5.0, 6.0, 3.0, 2.0, 4.0, 6.0, 6.0, 6.0, 5.0, 6.0, 5.0, 2.0, 5.0, 5.0, 5.0, 1.0, 5.0, 2.0, 6.0, 8.0, 6.0]","[1.0, 3.0, 1.0, 2.0, 1.0, 0.0, 3.0, 3.0, 0.0, 0.0, 2.0, 0.0, 0.0, 3.0, 0.0, 2.0, 3.0, 0.0, 1.0, 4.0, 0.0, 3.0, 1.0, 3.0]",['Interesting survey - I enjoyed trying to determine what each one ate.'],340.886,"['T_Y_C', 'N_Y_S', 'T_Y_S', 'N_Y_C', 'T_B_C', 'N_B_C', 'N_B_S', 'T_B_S']","[5.0, 6.0, 5.0, 3.0, 3.0, 5.0, 6.0, 6.0]","['medium', 'high', 'medium', 'medium', 'medium', 'high', 'low', 'low', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'low', 'medium', 'high', 'low', 'medium', 'medium', 'medium', 'high', 'medium']","['N', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'N', 'T', 'N']","['S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'C', 'C', 'S', 'S', 'S', 'S']","['B', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B']","['medium', 'medium', 'high', 'low', 'medium', 'low', 'medium', 'high']",24,"['N_B_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_Y_S', 'T_Y_S', 'N_Y_C', 'N_B_C', 'N_Y_C', 'T_B_S', 'T_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_C', 'N_B_S', 'N_B_C', 'N_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'T_B_C', 'N_Y_S', 'N_B_S', 'T_B_S', 'N_B_S']",1,No,No,Yes,,,,,,4.0
