participant,free_texts,feedback,fertility_score,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim,irrelevant_dim,feet_high,color_low,color_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response
006,"['This reptile has one yellowish eye and one bright white eye making it appear less healthy overall.', 'This reptile seems more cheerful.', ""This reptile is green (the first one I've seen) and looks healthy and happy."", 'This reptile has a healthy-looking glow, its left eye is a little more yellow than the green reptile that scored an 8 in the last round.', 'The red reptile seems less healthy than the green reptiles.', 'This reptile is red, the red reptiles have been the least healthy of all seen so far.', 'This is a green reptile, and they appear to be healthier and more fertile than all of the red ones. This one is less fertile than other green ones, likely due to its yellowish left eye.', 'This green reptile appears healthy overall contributing to its high score (its happy as well as healthy).', 'This green reptile appears identical to the previous one that scored a 9, I notice no discernible difference.', 'This green reptile appears identical to the last two who also received scores of 9 and 8.', 'This reptile is red, contributing to its low score.', 'This red reptile received a high score for a red reptile, but a low score in comparison to the green reptiles.', 'This reptile scored low due to its red color.', 'This reptile scored low due to its red color.', 'The reptile scored high due to its green color.', 'This reptile scored high due to its green color.']",['Once the pattern of higher scores with the green reptile was discovered it was difficult to identify any other patterns.'],"[4.0, 6.0, 8.0, 7.0, 5.0, 1.0, 6.0, 9.0, 8.0, 8.0, 2.0, 6.0, 2.0, 2.0, 9.0, 9.0]",603.57,"['Y_F', 'G_F', 'Y_C', 'G_C']","[3.0, 8.0, 4.0, 9.0]","['low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C']","['Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G']","['low', 'high', 'low', 'high']",6,"['Y_F', 'Y_C', 'G_C', 'G_F', 'Y_F', 'Y_C', 'G_F', 'G_C', 'G_C', 'G_F', 'Y_F', 'Y_C', 'Y_F', 'Y_C', 'G_F', 'G_C']",1,color,feet,C,Y,G,F,Yes, Round,4.0,Yes,Green,6.0
003,"['This reptile looks hardy and healthy. And, his color helps him to survive in green foliage surroundings.', 'This reptile is a contrasting color to his background, which might make him FOOD for predators.', 'This reptile has a wonky eye. If he produces others with wonky eye, these bad genes might make eyesight poor. This might interfere with seeing mates or avoiding predators.', 'This reptile looks big. He might be able to fend off predators AND grab a female for procreation.', 'This reptile looks pretty average in size, color, and pattern. Thus, his fertility is average.', 'This reptile is relatively large but also unusual in color. The other reptiles this size and color can easily find each other to successfully procreate.', 'This reptile is easy to spot (in color) by predators. It has a low score because fewer survive.', 'This reptile has only three toes. It does not walk or run well. It does not get away from predators easily.\xa0', 'This reptile is above average in fertility because its sperm county is unusually high.', 'This is another rather average green reptile. HE got a rather average fertility score accordingly.', 'This reptile has an outgoing personality which means he runs around mating with many, many other reptiles.\xa0', 'This reptile looks well formed. His offspring survived in an average manner. Therefore his sperm count is very average.', 'This reptile has a very short tail. This means he is not able to defend himself well or hold onto a mate. Thus, his fertility score is somewhat low.', 'This reptile metabolizes the greenery behind him as food very well. Thus, he and his offspring are very healthy.\xa0', 'This reptile has survived very well in the weather trends of his location. Thus, he has an above average fertility count.', 'This reptile is a quinteseential green tree frog. This is the typical fertility score for this animal.']",[],"[5.0, 4.0, 3.0, 8.0, 5.0, 9.0, 3.0, 3.0, 7.0, 6.0, 10.0, 5.0, 3.0, 9.0, 7.0, 5.0]",1044.806,"['G_F', 'Y_C', 'Y_F', 'G_C']","[5.0, 3.0, 3.0, 7.0]","['high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C']","['G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'G']","['high', 'low', 'high', 'low']",3,"['G_F', 'Y_C', 'G_C', 'Y_F', 'G_C', 'Y_F', 'Y_C', 'G_F', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_C', 'Y_F', 'G_F', 'G_C']",1,feet,color,F,G,Y,C,No,,,Yes,Green,6.0
015,"['Healthy, good camoflauge, energetic', 'Bad camoflauge, high mortality due to predators.', 'Bad breeding season', 'Small feet leading to better agility and improved offspring longevity', 'Good camoflauge and rounded feet making it more agile', 'Ideal feet shape and offputting color to predators, also attracts mates with color', 'Good color for attracting mates, suboptimal foot shape for evading predators', 'Camoflauge unideal (spots in the green), feet unideal.', 'Feet slightly too small but still functional for evading predators, color good for attracting mates and appearing poisonous to predators.', 'Ideal color for camouflage and foot shape.', 'Worst foot shape, clumsy and easily caught.', 'Bad foot shape but great camoflauge.', 'Unattractive to female species.', 'Attracts mates with color, easily caught by predators due to feet.', 'Ideal feet for evading predators, lifestyle too hectic for mating frequently.', 'Bad foot shape for predator evasion, not sexually active due to season.']","['Very interesting and engaging study, I enjoyed visualizing how different creature traits could possibly benefit or inhibit breeding potential/fertility. Thanks for the opportunity.']","[10.0, 1.0, 1.0, 8.0, 10.0, 10.0, 5.0, 3.0, 6.0, 9.0, 1.0, 7.0, 3.0, 5.0, 5.0, 4.0]",548.644,"['G_F', 'Y_C', 'Y_F', 'G_C']","[9.0, 3.0, 6.0, 3.0]","['high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low']","['F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C']","['G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G']","['high', 'low', 'high', 'low']",15,"['G_F', 'Y_C', 'G_C', 'Y_F', 'G_F', 'Y_F', 'Y_C', 'G_C', 'Y_F', 'G_F', 'Y_C', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_C']",1,feet,color,F,Y,G,C,Yes,Curly/Pointy,7.0,Yes,Green,6.0
011,"['She is an earth tone in color which can help her hide from predators.\xa0\xa0', 'This one is also an earth tone which helps members of the species hide from predators.\xa0', 'He has a big eye to spot predators', 'She is an earth tone and she has a big eye.', 'The yellow parts of his skin make him stand out a bit more, but he is still overall an earth tone.\xa0', 'She is an earth tone and has less yellow on her skin.\xa0 She blends in with the leaves.\xa0', 'She is an earth tone and can blend into her surroundings.\xa0', 'She is an earthtone and can blend in with her surroundings.\xa0\xa0', 'Green is the color of leaves so she blends with her surroundings.\xa0', 'She is the colorr of leaves, but has more yellow tones.\xa0 Also the pointing toes may be a factor.', 'The pointy toes and brighter skin color may affect it.\xa0', 'She has rounded toes.\xa0\xa0', 'She has pointy toes.\xa0\xa0', 'She has rounded toes.\xa0', 'She has rounded toes.\xa0', 'No idea.\xa0 She has pointy toes and is the same color as others we have seen.\xa0']",['It was an interesting survey.\xa0 Thanks!'],"[6.0, 6.0, 7.0, 10.0, 5.0, 7.0, 6.0, 6.0, 6.0, 6.0, 4.0, 8.0, 3.0, 8.0, 7.0, 8.0]",413.6813,"['G_C', 'Y_F', 'G_F', 'Y_C']","[4.0, 7.0, 6.0, 8.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C']","['Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y']","['low', 'high', 'high', 'low']",11,"['Y_C', 'G_C', 'G_F', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_C', 'G_F', 'Y_F', 'Y_C']",1,feet,color,F,G,Y,C,Yes, Round,5.0,No,,
012,"['I really don’t have enough info. Perhaps because it’s a tree dweller it had a lower fertility score.\xa0', 'Perhaps red reptiles are more fertile than green, even though they are both tree dwellers.\xa0', 'This reptile had spots. Spotted red reptiles may be more fertile.\xa0', 'Another green reptile, with a low score; comparable to the prior green reptile that was green and had a fertility score of 2.', 'Red spotted reptile, which corresponds with prior red spotted reptiles with high fertility scores. This is the highest yet.\xa0', 'Green spotted reptile - another with a low fertility score. It seems green reptiles are less fertile.\xa0', 'Red reptile with spots; Dane as the last red spotted reptile and comparable to others of this variety. High score.\xa0', 'Not sure why this green reptile sees an uptick in fertility score. It’s right eye is larger. Perhaps this corresponds to a higher fertility score in green reptiles.\xa0', 'Green reptile - low score. This tracks.\xa0', 'This is the lowest score for a red reptile but it is still higher than green reptiles.\xa0', 'Red reptile; high fertility score. Red reptiles continue to have higher scores.\xa0', 'Again, the reptile’s right eye appears slightly bigger than other green reptiles. Its score is now as high a one of the red reptiles.\xa0', 'Red reptile. Still higher than most green but this is lower than most red reptiles.\xa0', 'Green reptile that looks the same as other low scoring green reptiles.\xa0', 'This green reptile has pointy toes. Perhaps this leads to a higher fertility rate amongst green reptiles.\xa0', 'Red reptile with rounded toes. High fertility score.\xa0']",['Nothing to add. This was a fun task.\xa0'],"[2.0, 5.0, 8.0, 1.0, 9.0, 2.0, 9.0, 5.0, 2.0, 5.0, 7.0, 7.0, 5.0, 4.0, 5.0, 9.0]",670.016,"['G_C', 'Y_C', 'G_F', 'Y_F']","[9.0, 5.0, 3.0, 9.0]","['low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F']","['G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y']","['low', 'high', 'low', 'high']",12,"['G_F', 'Y_F', 'Y_C', 'G_C', 'Y_C', 'G_F', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'G_C', 'Y_F']",1,color,feet,C,G,Y,F,Yes,Curly/Pointy,4.0,Yes, Red,5.0
017,"['the reptile looks healthy with bright color,clear eyes and a strong body ,these visible features may suggest good health which could be linked to higher fertility score', 'the reptile is green and because of its colour or body features might\xa0 indicate it is less healthy or less mature compared to the other\xa0', 'looks healthy with clear eyes and a strong body ..the features shows its in good condition', 'the reptile has lower fertility score because its features might suggest it is less strong or healthy\xa0', 'reptile has average score because\xa0 it looks fairly healthy ,but some features might not be strong as those with higher fertility\xa0', 'the green reptile looks fairly healthy\xa0', 'the reptile might not look healthy or strong ..which could mean lower chances of reproduction\xa0', 'the reptile appears weaker and less healthy ...which could also suggest very low chances of reproduction\xa0', 'looks fairly strong and healthy ,slighty above average\xa0', 'the reptile appears moderately healthy\xa0', 'the reptile visible features appears healthy and chances of reproduction are high\xa0', 'the reptile might be less healthy or less mature compared to the other', 'the reptile might have lower reproduction chances\xa0', 'the reptile has higer reproduction chances because it looks healthy\xa0', 'the reptile appears weaker and less healthy\xa0']",[],"[9.0, 4.0, 10.0, 3.0, 5.0, 5.0, 3.0, 2.0, 6.0, 5.0, 10.0, 4.0, 4.0, 8.0, 2.0, 10.0]",1575.4041,"['G_F', 'Y_C', 'Y_F', 'G_C']","[6.0, 9.0, 9.0, 6.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G']","['low', 'high', 'low', 'high']",17,"['Y_C', 'G_F', 'G_C', 'Y_F', 'Y_C', 'G_C', 'Y_F', 'G_F', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'Y_C', 'G_F', 'G_C']",1,feet,color,C,G,Y,F,Yes,Curly/Pointy,5.0,No,,
005,"['this reptile was perhaps more fertile because of its healthy appearance and appeal to the opposite sex', 'perhaps this reptile received a fertility score of 2 due to its health maybe signs of discoloration on its body', 'this reptile received a fertility score of 6 because of its average appearance and health', 'this reptile received a fertility score of 9 due to its capability to survive as it has stronger claws', 'this reptile received a fertility score of 10 because of its healthy appearance and survival capabilities', 'this reptile received a fertility score of 1 because it is less capable than the other reptiles observed so it may have a more difficult time reproducing and surviving', 'this reptile received a fertility score of 6 because it has average capabilities to defend itself and survive and thus maintain average health', 'this reptile received a fertility score of 6 because of its average abilities and appearance\xa0', 'this reptiles claws make it more survivable and capable of taking care of itself', 'this reptile is less capable of keeping itself safe so it has a harder time staying very healthy', 'this reptile has low defenses and stands out more compared to other reptiles so it has a harder time mating', 'this reptile while more capable of survival is still flamboyant in appearance which may not appeal to other reptiles', 'this reptile is less capable of defense', 'this reptile appears very healthy and capable of keeping itself healthy', 'this reptile is very capable of keep itself healthy and defending itself', 'this reptile has trouble surviving and taking care of itself\xa0']",[],"[9.0, 2.0, 6.0, 9.0, 10.0, 1.0, 6.0, 6.0, 7.0, 4.0, 1.0, 5.0, 3.0, 10.0, 8.0, 1.0]",979.3877,"['Y_C', 'Y_F', 'G_F', 'G_C']","[9.0, 3.0, 5.0, 8.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F']","['Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G']","['high', 'low', 'low', 'high']",5,"['Y_C', 'Y_F', 'G_F', 'G_C', 'G_C', 'Y_F', 'Y_C', 'G_F', 'G_C', 'G_F', 'Y_F', 'Y_C', 'Y_F', 'Y_C', 'G_C', 'G_F']",1,feet,color,C,Y,G,F,Yes,Curly/Pointy,6.0,No,,
004,"['I think it’s because the reptile could not produce that many offspring\xa0', 'I think the color is brighter and it attracts more males', 'I think the color attracts more males but the size makes it difficult\xa0', 'I think the color is not that attractive\xa0', 'I think the color and activity is much better\xa0', 'I think they are kinda active sexually\xa0', 'I think they are kinda active sexually\xa0', 'I think they are very sexually active and the vibrant color helps them', 'I think the color helps the, and also they are active sexually\xa0', 'I think they fail to attract their partner a lot of the time', 'They are sexually active and can attract their partners in many ways', 'They are average in attracting their partners. They tends to be more idle', 'The vibrant color and sexual activity helps them', 'They are average in terms of sexual activity\xa0', 'They are average in terms of sexual activity but can attract somewhat', 'They are very uninterested in their opposite sex']",[],"[3.0, 6.0, 5.0, 2.0, 10.0, 4.0, 4.0, 10.0, 9.0, 3.0, 10.0, 5.0, 10.0, 6.0, 5.0, 1.0]",538.8,"['Y_F', 'G_C', 'Y_C', 'G_F']","[9.0, 4.0, 7.0, 4.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G']","['high', 'low', 'high', 'low']",4,"['G_C', 'Y_C', 'Y_F', 'G_F', 'Y_C', 'G_C', 'G_F', 'Y_F', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'Y_C', 'G_F', 'G_C']",0,color,feet,F,G,Y,C,No,,,Yes, Red,6.0
007,"['because it is happy and red', 'because it is green and one eye is smaller than the other', 'because of its color of red', 'because its green color, but out of season', 'because its two color eyes and happy mood', 'because of its pointy feet', 'because of its light color and pointy feet', 'because of its green color and round feet', 'because of its red color and round feet', 'because of its green color, but pointy feet reduce points', 'its has a low score because of its red color and pointy feet', 'because of its green color and round feet, but it is a low score due to off season', 'it has a lower score than usual because of its point feet', 'its red color and round feet give it a higher score', 'very low score because of its short tail, red color, and pointy feet', 'high score due to round feet, green color, and longer tail']",['none'],"[5.0, 8.0, 1.0, 5.0, 7.0, 4.0, 1.0, 4.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 1.0, 10.0]",385.0373,"['Y_C', 'G_F', 'G_C', 'Y_F']","[3.0, 9.0, 5.0, 6.0]","['high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high']","['F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G']","['low', 'high', 'low', 'high']",7,"['Y_F', 'G_F', 'Y_C', 'G_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_C', 'G_F', 'G_C', 'Y_F', 'Y_C', 'G_F']",1,feet,color,F,Y,G,C,Yes, Round,6.0,Yes,Green,3.0
