participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim,irrelevant_dim,feet_high,color_low,color_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response
006,"[4.0, 5.0, 7.0, 8.0, 4.0, 3.0, 6.0, 8.0, 9.0, 6.0, 8.0, 1.0, 3.0, 5.0, 8.0, 7.0]","[4.0, 6.0, 8.0, 7.0, 5.0, 1.0, 6.0, 9.0, 8.0, 8.0, 2.0, 6.0, 2.0, 2.0, 9.0, 9.0]","[0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 6.0, 5.0, 1.0, 3.0, 1.0, 2.0]",['the task was very well explained\xa0'],185.0774,"['Y_F', 'G_F', 'Y_C', 'G_C']","[4.0, 9.0, 2.0, 8.0]","['low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C']","['Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G']","['low', 'high', 'low', 'high']",6,"['Y_F', 'Y_C', 'G_C', 'G_F', 'Y_F', 'Y_C', 'G_F', 'G_C', 'G_C', 'G_F', 'Y_F', 'Y_C', 'Y_F', 'Y_C', 'G_F', 'G_C']",1,color,feet,C,Y,G,F,Yes, Round,4.0,Yes,Green,5.0
016,"[7.0, 7.0, 5.0, 7.0, 3.0, 3.0, 7.0, 8.0, 7.0, 3.0, 8.0, 4.0, 7.0, 4.0, 9.0, 5.0]","[8.0, 3.0, 2.0, 8.0, 2.0, 5.0, 8.0, 5.0, 9.0, 6.0, 5.0, 7.0, 8.0, 6.0, 10.0, 9.0]","[1.0, 4.0, 3.0, 1.0, 1.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 3.0, 1.0, 2.0, 1.0, 4.0]",[],228.876,"['G_F', 'Y_F', 'Y_C', 'G_C']","[4.0, 8.0, 8.0, 5.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G']","['low', 'high', 'high', 'low']",16,"['Y_C', 'G_F', 'G_C', 'Y_F', 'G_C', 'G_F', 'Y_F', 'Y_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_C', 'G_C', 'Y_F', 'G_F']",1,color,feet,F,G,Y,C,No,,,Yes, Red,5.0
012,"[4.0, 4.0, 7.0, 3.0, 8.0, 2.0, 8.0, 2.0, 3.0, 9.0, 9.0, 1.0, 6.0, 2.0, 6.0, 8.0]","[2.0, 5.0, 8.0, 1.0, 9.0, 2.0, 9.0, 5.0, 2.0, 5.0, 7.0, 7.0, 5.0, 4.0, 5.0, 9.0]","[2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 3.0, 1.0, 4.0, 2.0, 6.0, 1.0, 2.0, 1.0, 1.0]",['all was good!'],246.1122,"['G_C', 'Y_C', 'G_F', 'Y_F']","[7.0, 5.0, 2.0, 9.0]","['low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F']","['G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y']","['low', 'high', 'low', 'high']",12,"['G_F', 'Y_F', 'Y_C', 'G_C', 'Y_C', 'G_F', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'G_C', 'Y_F']",1,color,feet,C,G,Y,F,Yes,Curly/Pointy,4.0,Yes, Red,6.0
017,"[7.0, 3.0, 2.0, 8.0, 7.0, 3.0, 6.0, 7.0, 2.0, 2.0, 9.0, 2.0, 3.0, 9.0, 2.0, 10.0]","[9.0, 4.0, 10.0, 3.0, 5.0, 5.0, 3.0, 2.0, 6.0, 5.0, 10.0, 4.0, 4.0, 8.0, 2.0, 10.0]","[2.0, 1.0, 8.0, 5.0, 2.0, 2.0, 3.0, 5.0, 4.0, 3.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0]",[],182.138,"['G_F', 'Y_C', 'Y_F', 'G_C']","[2.0, 8.0, 3.0, 10.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G']","['low', 'high', 'low', 'high']",17,"['Y_C', 'G_F', 'G_C', 'Y_F', 'Y_C', 'G_C', 'Y_F', 'G_F', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'Y_C', 'G_F', 'G_C']",1,feet,color,C,G,Y,F,Yes,Curly/Pointy,6.0,No,,
008,"[8.0, 7.0, 6.0, 7.0, 7.0, 5.0, 5.0, 4.0, 3.0, 7.0, 8.0, 6.0, 6.0, 5.0, 5.0, 4.0]","[6.0, 7.0, 5.0, 5.0, 8.0, 8.0, 3.0, 8.0, 4.0, 1.0, 6.0, 7.0, 9.0, 1.0, 2.0, 5.0]","[2.0, 0.0, 1.0, 2.0, 1.0, 3.0, 2.0, 4.0, 1.0, 6.0, 2.0, 1.0, 3.0, 4.0, 3.0, 1.0]",[],514.9366,"['G_F', 'Y_F', 'Y_C', 'G_C']","[3.0, 5.0, 6.0, 4.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high']","['F', 'C', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'Y']","['low', 'high', 'high', 'low']",8,"['G_F', 'Y_C', 'Y_F', 'G_C', 'Y_C', 'G_C', 'G_F', 'Y_F', 'G_F', 'G_C', 'Y_C', 'Y_F', 'Y_C', 'G_F', 'G_C', 'Y_F']",1,color,feet,C,G,Y,F,Yes,Curly/Pointy,3.0,Yes, Red,6.0
001,"[3.0, 5.0, 7.0, 9.0, 6.0, 8.0, 5.0, 3.0, 3.0, 8.0, 7.0, 8.0, 4.0, 5.0, 7.0, 9.0]","[4.0, 10.0, 7.0, 3.0, 3.0, 5.0, 5.0, 5.0, 1.0, 5.0, 3.0, 8.0, 5.0, 1.0, 8.0, 9.0]","[1.0, 5.0, 0.0, 6.0, 3.0, 3.0, 0.0, 2.0, 2.0, 3.0, 4.0, 0.0, 1.0, 4.0, 1.0, 0.0]","['Enjoyed the study very much, even though I had a hard time distinguishing between the reptiles.']",329.6841,"['Y_F', 'G_C', 'G_F', 'Y_C']","[7.0, 5.0, 8.0, 4.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C']","['G', 'G', 'Y', 'Y', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G']","['low', 'high', 'low', 'high']",1,"['G_F', 'G_C', 'Y_C', 'Y_F', 'G_F', 'Y_F', 'Y_C', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_C', 'G_F', 'Y_F', 'Y_C', 'G_C']",1,feet,color,C,Y,G,F,No,,,No,,
011,"[8.0, 9.0, 6.0, 6.0, 4.0, 4.0, 3.0, 6.0, 6.0, 7.0, 6.0, 6.0, 10.0, 6.0, 4.0, 6.0]","[6.0, 6.0, 7.0, 10.0, 5.0, 7.0, 6.0, 6.0, 6.0, 6.0, 4.0, 8.0, 3.0, 8.0, 7.0, 8.0]","[2.0, 3.0, 1.0, 4.0, 1.0, 3.0, 3.0, 0.0, 0.0, 1.0, 2.0, 2.0, 7.0, 2.0, 3.0, 2.0]",['I did not find anything confusing. The instructions were clear and comprehensible. I just wish I could have a 2nd round to test my theories.\xa0\xa0'],379.5569,"['G_C', 'Y_F', 'G_F', 'Y_C']","[8.0, 6.0, 6.0, 7.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C']","['Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y']","['low', 'high', 'high', 'low']",11,"['Y_C', 'G_C', 'G_F', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_C', 'G_F', 'Y_F', 'Y_C']",1,feet,color,F,G,Y,C,Yes,Curly/Pointy,6.0,Yes,Green,5.0
019,"[6.0, 8.0, 5.0, 3.0, 3.0, 6.0, 10.0, 6.0, 1.0, 5.0, 6.0, 1.0, 6.0, 2.0, 7.0, 6.0]","[3.0, 6.0, 6.0, 3.0, 5.0, 10.0, 1.0, 6.0, 3.0, 5.0, 9.0, 1.0, 8.0, 7.0, 1.0, 3.0]","[3.0, 2.0, 1.0, 0.0, 2.0, 4.0, 9.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 5.0, 6.0, 3.0]",['Nothing look confusing'],1564.0701,"['Y_F', 'G_F', 'Y_C', 'G_C']","[6.0, 3.0, 1.0, 8.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C']","['G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y']","['high', 'high', 'low', 'low']",19,"['G_C', 'Y_C', 'Y_F', 'G_F', 'G_C', 'Y_F', 'Y_C', 'G_F', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_F', 'G_F', 'G_C', 'Y_C']",0,feet,color,F,G,Y,C,Yes, Round,6.0,Yes, Red,6.0
013,"[7.0, 8.0, 4.0, 5.0, 10.0, 7.0, 7.0, 6.0, 7.0, 3.0, 4.0, 7.0, 6.0, 7.0, 3.0, 8.0]","[3.0, 8.0, 7.0, 5.0, 6.0, 3.0, 3.0, 1.0, 7.0, 1.0, 5.0, 10.0, 5.0, 1.0, 8.0, 8.0]","[4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 5.0, 0.0, 2.0, 1.0, 3.0, 1.0, 6.0, 5.0, 0.0]",[],248.521,"['G_F', 'Y_F', 'Y_C', 'G_C']","[2.0, 4.0, 7.0, 9.0]","['low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C']","['G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G']","['low', 'low', 'high', 'high']",13,"['G_F', 'Y_C', 'G_C', 'Y_F', 'Y_C', 'G_C', 'Y_F', 'G_F', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_F', 'G_F', 'Y_C', 'G_C']",0,feet,color,C,G,Y,F,Yes,Curly/Pointy,5.0,Yes, Red,5.0
007,"[5.0, 6.0, 5.0, 9.0, 2.0, 6.0, 5.0, 8.0, 2.0, 2.0, 2.0, 9.0, 4.0, 3.0, 7.0, 4.0]","[5.0, 8.0, 1.0, 5.0, 7.0, 4.0, 1.0, 4.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 1.0, 10.0]","[0.0, 2.0, 4.0, 4.0, 5.0, 2.0, 4.0, 4.0, 6.0, 5.0, 2.0, 3.0, 0.0, 4.0, 6.0, 6.0]",[],282.436,"['Y_C', 'G_F', 'G_C', 'Y_F']","[6.0, 4.0, 4.0, 6.0]","['high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high']","['F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G']","['low', 'high', 'low', 'high']",7,"['Y_F', 'G_F', 'Y_C', 'G_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_C', 'G_F', 'G_C', 'Y_F', 'Y_C', 'G_F']",1,feet,color,F,Y,G,C,No,,,Yes, Red,3.0
003,"[6.0, 3.0, 7.0, 6.0, 8.0, 2.0, 4.0, 7.0, 8.0, 2.0, 9.0, 5.0, 8.0, 8.0, 6.0, 3.0]","[5.0, 4.0, 3.0, 8.0, 5.0, 9.0, 3.0, 3.0, 7.0, 6.0, 10.0, 5.0, 3.0, 9.0, 7.0, 5.0]","[1.0, 1.0, 4.0, 2.0, 3.0, 7.0, 1.0, 4.0, 1.0, 4.0, 1.0, 0.0, 5.0, 1.0, 1.0, 2.0]","[""Trying to guess the score was confusing because I didn't notice anything in the background that would make it seem like it's another season, just the same animal over and over again.\xa0""]",400.2929,"['G_F', 'Y_C', 'Y_F', 'G_C']","[8.0, 6.0, 3.0, 6.0]","['high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C']","['G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'G']","['high', 'low', 'high', 'low']",3,"['G_F', 'Y_C', 'G_C', 'Y_F', 'G_C', 'Y_F', 'Y_C', 'G_F', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_C', 'Y_F', 'G_F', 'G_C']",1,feet,color,F,G,Y,C,No,,,No,,
014,"[3.0, 6.0, 4.0, 8.0, 6.0, 5.0, 5.0, 6.0, 4.0, 5.0, 4.0, 6.0, 7.0, 8.0, 5.0, 6.0]","[6.0, 5.0, 7.0, 4.0, 1.0, 4.0, 8.0, 4.0, 2.0, 6.0, 3.0, 8.0, 9.0, 10.0, 5.0, 1.0]","[3.0, 1.0, 3.0, 4.0, 5.0, 1.0, 3.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 5.0]",['Interesting study. It was a little tricky to zero in on what influenced fertility scores the most.\xa0'],369.9794,"['Y_F', 'Y_C', 'G_C', 'G_F']","[4.0, 5.0, 7.0, 7.0]","['low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low']","['F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'C', 'F']","['Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G', 'G', 'G', 'Y', 'Y']","['low', 'low', 'high', 'high']",14,"['Y_F', 'Y_C', 'G_F', 'G_C', 'Y_F', 'Y_C', 'G_C', 'G_F', 'Y_F', 'G_F', 'Y_C', 'G_C', 'G_C', 'G_F', 'Y_C', 'Y_F']",1,color,feet,C,Y,G,F,No,,,Yes,Green,4.0
015,"[4.0, 2.0, 10.0, 4.0, 3.0, 2.0, 8.0, 10.0, 10.0, 3.0, 7.0, 9.0, 9.0, 4.0, 7.0, 2.0]","[10.0, 1.0, 1.0, 8.0, 10.0, 10.0, 5.0, 3.0, 6.0, 9.0, 1.0, 7.0, 3.0, 5.0, 5.0, 4.0]","[6.0, 1.0, 9.0, 4.0, 7.0, 8.0, 3.0, 7.0, 4.0, 6.0, 6.0, 2.0, 6.0, 1.0, 2.0, 2.0]",['This was interesting.'],215.5836,"['G_F', 'Y_C', 'Y_F', 'G_C']","[9.0, 2.0, 7.0, 4.0]","['high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low']","['F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C']","['G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G']","['high', 'low', 'high', 'low']",15,"['G_F', 'Y_C', 'G_C', 'Y_F', 'G_F', 'Y_F', 'Y_C', 'G_C', 'Y_F', 'G_F', 'Y_C', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_C']",1,feet,color,F,Y,G,C,No,,,Yes,Green,4.0
002,"[7.0, 4.0, 7.0, 1.0, 10.0, 9.0, 1.0, 3.0, 3.0, 1.0, 9.0, 10.0, 7.0, 8.0, 1.0, 6.0]","[7.0, 1.0, 10.0, 1.0, 9.0, 10.0, 2.0, 3.0, 2.0, 6.0, 4.0, 7.0, 2.0, 10.0, 6.0, 8.0]","[0.0, 3.0, 3.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 5.0, 5.0, 3.0, 5.0, 2.0, 5.0, 2.0]",[],209.5402,"['Y_C', 'G_C', 'G_F', 'Y_F']","[6.0, 9.0, 5.0, 2.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high']","['C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G']","['low', 'high', 'high', 'low']",2,"['G_C', 'Y_F', 'G_F', 'Y_C', 'G_F', 'G_C', 'Y_F', 'Y_C', 'Y_C', 'Y_F', 'G_F', 'G_C', 'Y_C', 'G_C', 'Y_F', 'G_F']",1,color,feet,F,Y,G,C,Yes,Curly/Pointy,6.0,Yes,Green,5.0
010,"[6.0, 4.0, 3.0, 8.0, 6.0, 2.0, 4.0, 8.0, 2.0, 8.0, 3.0, 6.0, 2.0, 3.0, 6.0, 10.0]","[2.0, 9.0, 1.0, 6.0, 10.0, 4.0, 3.0, 8.0, 3.0, 6.0, 1.0, 9.0, 5.0, 5.0, 10.0, 7.0]","[4.0, 5.0, 2.0, 2.0, 4.0, 2.0, 1.0, 0.0, 1.0, 2.0, 2.0, 3.0, 3.0, 2.0, 4.0, 3.0]",['Nothing was confusing. I am color blind so had difficulty differentiating the colors but did seem to figure out that the pink/red were lower in fertilitiy.'],328.919,"['Y_C', 'G_F', 'G_C', 'Y_F']","[3.0, 8.0, 9.0, 2.0]","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F']","['Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G']","['low', 'high', 'high', 'low']",10,"['Y_F', 'G_C', 'Y_C', 'G_F', 'G_F', 'Y_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_C', 'Y_F', 'G_C', 'G_F']",1,color,feet,C,Y,G,F,No,,,Yes,Green,6.0
009,"[3.0, 3.0, 1.0, 8.0, 8.0, 3.0, 2.0, 8.0, 8.0, 8.0, 4.0, 5.0, 5.0, 9.0, 5.0, 5.0]","[1.0, 3.0, 8.0, 2.0, 8.0, 2.0, 4.0, 6.0, 7.0, 9.0, 5.0, 5.0, 4.0, 5.0, 9.0, 6.0]","[2.0, 0.0, 7.0, 6.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 4.0, 4.0, 1.0]",[],223.144,"['G_F', 'Y_C', 'Y_F', 'G_C']","[4.0, 7.0, 5.0, 8.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F']","['G', 'Y', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G', 'Y']","['low', 'high', 'low', 'high']",9,"['G_F', 'Y_C', 'G_C', 'Y_F', 'Y_C', 'Y_F', 'G_F', 'G_C', 'Y_C', 'G_C', 'G_F', 'Y_F', 'G_F', 'Y_C', 'G_C', 'Y_F']",0,feet,color,C,Y,G,F,Yes,Curly/Pointy,7.0,No,,
004,"[5.0, 2.0, 8.0, 2.0, 8.0, 6.0, 2.0, 7.0, 8.0, 4.0, 10.0, 2.0, 6.0, 8.0, 2.0, 4.0]","[3.0, 6.0, 5.0, 2.0, 10.0, 4.0, 4.0, 10.0, 9.0, 3.0, 10.0, 5.0, 10.0, 6.0, 5.0, 1.0]","[2.0, 4.0, 3.0, 0.0, 2.0, 2.0, 2.0, 3.0, 1.0, 1.0, 0.0, 3.0, 4.0, 2.0, 3.0, 3.0]",['This was a fun experiment!'],551.9894,"['Y_F', 'G_C', 'Y_C', 'G_F']","[6.0, 4.0, 10.0, 2.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G']","['high', 'low', 'high', 'low']",4,"['G_C', 'Y_C', 'Y_F', 'G_F', 'Y_C', 'G_C', 'G_F', 'Y_F', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'Y_C', 'G_F', 'G_C']",1,color,feet,F,G,Y,C,Yes,Curly/Pointy,2.0,Yes, Red,4.0
005,"[8.0, 3.0, 8.0, 2.0, 9.0, 2.0, 8.0, 2.0, 9.0, 4.0, 3.0, 9.0, 3.0, 8.0, 6.0, 4.0]","[9.0, 2.0, 6.0, 9.0, 10.0, 1.0, 6.0, 6.0, 7.0, 4.0, 1.0, 5.0, 3.0, 10.0, 8.0, 1.0]","[1.0, 1.0, 2.0, 7.0, 1.0, 1.0, 2.0, 4.0, 2.0, 0.0, 2.0, 4.0, 0.0, 2.0, 2.0, 3.0]","['Nothing confusing or any errors, this was enjoyable!']",196.1607,"['Y_C', 'Y_F', 'G_F', 'G_C']","[9.0, 2.0, 4.0, 7.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F']","['Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G']","['high', 'low', 'low', 'high']",5,"['Y_C', 'Y_F', 'G_F', 'G_C', 'G_C', 'Y_F', 'Y_C', 'G_F', 'G_C', 'G_F', 'Y_F', 'Y_C', 'Y_F', 'Y_C', 'G_C', 'G_F']",1,feet,color,C,Y,G,F,Yes,Curly/Pointy,6.0,No,,
020,"[5.0, 4.0, 6.0, 8.0, 4.0, 4.0, 9.0, 10.0, 4.0, 9.0, 9.0, 6.0, 6.0, 4.0, 4.0, 9.0]","[6.0, 9.0, 4.0, 9.0, 4.0, 1.0, 10.0, 6.0, 5.0, 5.0, 9.0, 4.0, 6.0, 1.0, 3.0, 7.0]","[1.0, 5.0, 2.0, 1.0, 0.0, 3.0, 1.0, 4.0, 1.0, 4.0, 0.0, 2.0, 0.0, 3.0, 1.0, 2.0]","['I really enjoyed the study, however I believe I did a poor job inferring the correct relationships.']",283.6236,"['Y_C', 'G_F', 'G_C', 'Y_F']","[6.0, 2.0, 4.0, 9.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y']","['high', 'low', 'low', 'high']",20,"['G_F', 'Y_F', 'G_C', 'Y_C', 'G_C', 'G_F', 'Y_F', 'Y_C', 'G_C', 'Y_C', 'Y_F', 'G_F', 'Y_C', 'G_F', 'G_C', 'Y_F']",1,color,feet,F,G,Y,C,Yes, Round,3.0,Yes, Red,6.0
018,"[3.0, 4.0, 3.0, 5.0, 5.0, 4.0, 6.0, 4.0, 6.0, 4.0, 6.0, 3.0, 3.0, 3.0, 5.0, 5.0]","[5.0, 2.0, 5.0, 4.0, 7.0, 4.0, 7.0, 1.0, 6.0, 1.0, 7.0, 2.0, 6.0, 1.0, 7.0, 9.0]","[2.0, 2.0, 2.0, 1.0, 2.0, 0.0, 1.0, 3.0, 0.0, 3.0, 1.0, 1.0, 3.0, 2.0, 2.0, 4.0]",[],188.4643,"['G_F', 'Y_C', 'Y_F', 'G_C']","[5.0, 4.0, 4.0, 5.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'low', 'high', 'high']","['F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['G', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'Y', 'G', 'G']","['high', 'low', 'low', 'high']",18,"['G_F', 'Y_F', 'Y_C', 'G_C', 'G_F', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_C', 'G_C', 'Y_F', 'Y_F', 'Y_C', 'G_F', 'G_C']",1,color,feet,F,Y,G,C,Yes,Curly/Pointy,2.0,Yes,Green,3.0
